Work Order Number,"Work Order: Type
Name","Work Order:
Street
Number","Work
Order:
Street
Direction","Work Order:
Street Name","Work
Order:
Street Type",Ward,"Work
Order:
Created
Time Value","Work
Order:
Completed
Time Value",Status,Work Order: Description
20-02275627,"Tree Planting -
Green Streets",2852,S,ARCHER,AVE,11,2:22 PM,3:51 PM,Closed,7D 1OP
20-02275636,"Tree Planting -
Green Streets",2856,S,ARCHER,AVE,11,2:22 PM,3:56 PM,Closed,7D 1OP
20-02275641,"Tree Planting -
Green Streets",2860,S,ARCHER,AVE,11,2:23 PM,4:00 PM,Closed,7D 1OP
20-02275647,"Tree Planting -
Green Streets",3736,S,ASHLAND,AVE,12,2:24 PM,12:07 PM,Closed,7D 2OP
20-02275650,"Tree Planting -
Green Streets",3800,S,ASHLAND,AVE,12,2:25 PM,12:26 PM,Closed,7D 1OP
20-02275654,"Tree Planting -
Green Streets",3804,S,ASHLAND,AVE,12,2:25 PM,12:28 PM,Closed,7D 1OP
20-02275658,"Tree Planting -
Green Streets",3850,S,ASHLAND,AVE,12,2:25 PM,12:31 PM,Closed,7D 1OP
20-02275670,"Tree Planting -
Green Streets",13099,S,BRAINARD,AVE,10,2:27 PM,3:35 PM,Closed,7D 3P ANNE ZHANG
20-02275676,"Tree Planting -
Green Streets",149,E,OHIO,ST,42,2:27 PM,3:24 PM,Closed,7D 1OP
20-02275679,"Tree Planting -
Green Streets",1700,W,LAWRENCE,AVE,47,2:28 PM,2:45 PM,Closed,7D 2 MEDIAN PED REFUGE
20-02275683,"Tree Planting -
Green Streets",1630,W,BARRY,AVE,32,2:28 PM,3:51 PM,Closed,7D 1OP
20-02275690,"Tree Planting -
Green Streets",454,N,RACINE,AVE,27,2:29 PM,2:17 PM,Closed,7D 1OP COLUMNAR
20-02275693,"Tree Planting -
Green Streets",451,N,OGDEN,AVE,27,2:30 PM,2:09 PM,Closed,7D 1OP COLUMNAR
20-02275697,"Tree Planting -
Green Streets",426,N,ADA,ST,27,2:30 PM,3:30 PM,Closed,7D 1OP COLUMNAR
20-02275704,"Tree Planting -
Green Streets",428,N,NOBLE,ST,27,2:31 PM,1:54 PM,Closed,7D 1P POWERLINES
20-02275733,"Tree Planting -
Green Streets",1516,W,HUBBARD,ST,1,2:35 PM,2:41 PM,Closed,7D 1OP POWERLINES
20-02275741,"Tree Planting -
Green Streets",1327,W,ERIE,ST,1,2:35 PM,2:49 PM,Closed,7D 2OP ON ADA
20-02275744,"Tree Planting -
Green Streets",1416,W,ERIE,ST,27,2:36 PM,2:53 PM,Closed,7D 1P
20-02275748,"Tree Planting -
Green Streets",1300,W,HURON,ST,1,2:36 PM,3:08 PM,Closed,7D 1OP ON ELIZABETH
20-02275755,"Tree Planting -
Green Streets",1259,W,FRY,ST,27,2:37 PM,2:56 PM,Closed,7D 1P OAK
20-02275763,"Tree Planting -
Green Streets",1450,W,FRY,ST,1,2:37 PM,2:58 PM,Closed,7D 1OP
20-02275765,"Tree Planting -
Green Streets",1219,N,NOBLE,ST,2,2:38 PM,2:01 PM,Closed,7D 1OP
20-02275779,"Tree Planting -
Green Streets",1122,W,CHESTNUT,ST,27,2:39 PM,1:55 PM,Closed,7D 1P POWERLINES
20-02275783,"Tree Planting -
Green Streets",648,N,GREEN,ST,27,2:39 PM,3:01 PM,Closed,7D 1P
20-02275787,"Tree Planting -
Green Streets",301,W,CHESTNUT,ST,27,2:40 PM,2:01 PM,Closed,7D 1P
20-02275803,"Tree Planting -
Green Streets",35,W,CHESTNUT,ST,2,2:40 PM,1:52 PM,Closed,7D 1OP SHADE
20-02275806,"Tree Planting -
Green Streets",1427,N,DEARBORN,ST,2,2:41 PM,12:20 PM,Closed,7D 1OP FENCE
20-02275812,"Tree Planting -
Green Streets",1549,N,NORTH PARK,AVE,27,2:42 PM,2:06 PM,Closed,7D 1P  OAK
20-02275816,"Tree Planting -
Green Streets",1545,N,NORTH PARK,AVE,27,2:42 PM,2:03 PM,Closed,7D 1OP
20-02275822,"Tree Planting -
Green Streets",1517,N,NORTH PARK,AVE,27,2:43 PM,3:37 PM,Closed,7D 1OP
20-02275825,"Tree Planting -
Green Streets",400,W,ONTARIO,ST,42,2:43 PM,3:32 PM,Closed,7D 3OP
20-02275835,"Tree Planting -
Green Streets",416,W,ONTARIO,ST,42,2:44 PM,3:36 PM,Closed,7D 1OP
20-02275837,"Tree Planting -
Green Streets",440,W,ONTARIO,ST,42,2:44 PM,3:38 PM,Closed,7D 2OP
20-02275861,"Tree Planting -
Green Streets",448,N,ORLEANS,ST,42,2:45 PM,3:41 PM,Closed,7D 1OP ON ILLINOIS
20-02275867,"Tree Planting -
Green Streets",101,E,ROOSEVELT,RD,3,2:45 PM,2:19 PM,Closed,7D 1OP STUMP VANDAL
20-02275877,"Tree Planting -
Green Streets",2222,S,HALSTED,ST,25,2:46 PM,3:04 PM,Closed,7D 2OP
20-02275884,"Tree Planting -
Green Streets",830,W,21ST,ST,11,2:46 PM,3:24 PM,Closed,7D 1P
20-02275888,"Tree Planting -
Green Streets",1633,S,MILLER,ST,25,2:47 PM,3:49 PM,Closed,7D 1P
20-02275915,"Tree Planting -
Green Streets",1904,S,LOOMIS,ST,25,2:49 PM,3:15 PM,Closed,7D 1OP
20-02275943,"Tree Planting -
Green Streets",1340,W,16TH,ST,25,2:50 PM,2:07 PM,Closed,7D 3P
20-02275947,"Tree Planting -
Green Streets",1350,W,16TH,ST,25,2:50 PM,2:17 PM,Closed,7D 3P
20-02275955,"Tree Planting -
Green Streets",612,S,LAFLIN,ST,28,2:52 PM,3:12 PM,Closed,7D 1P
20-02275959,"Tree Planting -
Green Streets",1540,W,JACKSON,BLVD,28,2:52 PM,3:10 PM,Closed,7D 1OP
20-02275973,"Tree Planting -
Green Streets",26,N,THROOP,ST,27,2:53 PM,3:48 PM,Closed,7D 1OP
20-02275977,"Tree Planting -
Green Streets",1017,W,RANDOLPH,ST,27,2:53 PM,3:45 PM,Closed,7D 1OP
20-02330476,"Tree Planting -
Green Streets",1025,W,MONTROSE,AVE,46,9:06 AM,1:51 PM,Closed,7D 2OP 41ZD
20-02330498,"Tree Planting -
Green Streets",841,W,MONTROSE,AVE,46,9:08 AM,1:46 PM,Closed,7D 1OP 04ZE
20-02330508,"Tree Planting -
Green Streets",911,W,MONTROSE,AVE,46,9:10 AM,1:48 PM,Closed,7D 1OP 04ZE
20-02345464,"Tree Planting -
Green Streets",310,S,MICHIGAN,AVE,42,10:43 AM,3:24 PM,Closed,7D OP 13ZG
20-02539110,"Tree Planting -
Green Streets",3709,W,59TH,ST,23,9:11 AM,12:08 PM,Closed,7D 1OP 04ZE
20-02539139,"Tree Planting -
Green Streets",3730,W,59TH,ST,23,9:14 AM,12:11 PM,Closed,7D 1OP 04ZE
20-02539140,"Tree Planting -
Green Streets",3600,W,59TH,ST,23,9:14 AM,12:06 PM,Closed,7D 1OP 01ZF
20-02539180,"Tree Planting -
Green Streets",3735,W,59TH,ST,23,9:18 AM,12:13 PM,Closed,7D 1OP 01ZF
20-02539182,"Tree Planting -
Green Streets",3741,W,59TH,ST,23,9:18 AM,12:15 PM,Closed,7D 1OP 04ZE
20-02539724,"Tree Planting -
Green Streets",3743,W,59TH,ST,23,10:38 AM,12:17 PM,Closed,7D 1OP 04ZE
20-02539738,"Tree Planting -
Green Streets",4134,W,59TH,ST,13,10:39 AM,12:19 PM,Closed,7D 1OP 01ZF
20-02539746,"Tree Planting -
Green Streets",4438,W,59TH,ST,13,10:41 AM,12:27 PM,Closed,7D 1OP 04ZE
20-02539762,"Tree Planting -
Green Streets",4523,W,59TH,ST,13,10:42 AM,12:29 PM,Closed,7D 1OP 04ZE
20-02539775,"Tree Planting -
Green Streets",3718,W,63RD,ST,23,10:44 AM,1:38 PM,Closed,7D 1OP 01ZF
20-02539783,"Tree Planting -
Green Streets",3730,W,63RD,ST,23,10:45 AM,1:40 PM,Closed,7D 1OP 04ZE
20-02539791,"Tree Planting -
Green Streets",3733,W,63RD,ST,23,10:46 AM,2:19 PM,Closed,7D 1OP 04ZE
20-02539796,"Tree Planting -
Green Streets",3737,W,63RD,ST,23,10:47 AM,2:22 PM,Closed,7D 1OP 01ZF
20-02539804,"Tree Planting -
Green Streets",3746,W,63RD,ST,23,10:48 AM,2:25 PM,Closed,7D 1OP 04ZE
20-02539812,"Tree Planting -
Green Streets",3747,W,63RD,ST,23,10:49 AM,2:27 PM,Closed,7D 1OP 04ZE
20-02539815,"Tree Planting -
Green Streets",3748,W,63RD,ST,23,10:51 AM,2:29 PM,Closed,7D 1OP 01ZF
20-02539821,"Tree Planting -
Green Streets",3809,W,63RD,ST,23,10:53 AM,2:37 PM,Closed,7D 1OP 04ZE
20-02539847,"Tree Planting -
Green Streets",3810,W,63RD,ST,23,10:54 AM,2:39 PM,Closed,7D 1OP 01ZF
20-02539856,"Tree Planting -
Green Streets",3811,W,63RD,ST,23,10:56 AM,2:41 PM,Closed,7D 1OP 04ZE
20-02539876,"Tree Planting -
Green Streets",3820,W,63RD,ST,23,10:58 AM,2:44 PM,Closed,7D 1OP 04ZE
20-02539883,"Tree Planting -
Green Streets",3830,W,63RD,ST,23,10:59 AM,2:46 PM,Closed,7D 1OP 01ZF
20-02539888,"Tree Planting -
Green Streets",3843,W,63RD,ST,23,11:00 AM,2:48 PM,Closed,7D 1OP 04ZE
20-02539897,"Tree Planting -
Green Streets",3859,W,63RD,ST,23,11:01 AM,2:50 PM,Closed,7D 1OP ON SPRINGFIELD 04ZE
20-02539910,"Tree Planting -
Green Streets",3907,W,63RD,ST,13,11:03 AM,2:52 PM,Closed,7D 1OP 01ZF
20-02539919,"Tree Planting -
Green Streets",3931,W,63RD,ST,13,11:04 AM,2:54 PM,Closed,7D 1OP 04ZE
20-02539928,"Tree Planting -
Green Streets",3933,W,63RD,ST,13,11:05 AM,2:55 PM,Closed,7D 1OP 04ZE
