"",,COOK,,,,,,
08-00183996,Tree Planting -,"4901 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 02, 2008",Completed,Bureau of Forestry -,15P; 8 06ZB AND 7 01TF
"",Green Streets,60609,,10:07 AM,10:08 AM,,Green Streets,(4903SWELLS) ALTERNATE
"",,COOK,,,,,,SPECIES; ALADDIN 06.02.08
08-00184002,Tree Planting -,"5002 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,PRIVATE CNP
"",Green Streets,60609,,10:08 AM,10:08 AM,,Green Streets,
"",,COOK,,,,,,
08-00184010,Tree Planting -,"5058 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,PRIVATE CNP
"",Green Streets,60609,,10:09 AM,10:09 AM,,Green Streets,
"",,COOK,,,,,,
08-00184015,Tree Planting -,"5500 S WELLS ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 04, 2008",Completed,Bureau of Forestry -,19 MEDIAN; ALADDIN 32OC
"",Green Streets,60621,,10:09 AM,10:10 AM,,Green Streets,06.04.08
"",,COOK,,,,,,
08-00184029,Tree Planting -,"6102 S YALE AVE , CHICAGO, IL,",20-Ward,"Jan 31, 2008","MAY 14, 2008",Completed,Bureau of Forestry -,10 P ALADDIN 06ZB 05.14.08
"",Green Streets,60621,,10:10 AM,10:11 AM,,Green Streets,"LOTS OF LIMESTONE AT SITE,"
"",,COOK,,,,,,SOIL IN POOR CONDITION
08-00184038,Tree Planting -,"6132 S YALE , CHICAGO, IL,",,"Jan 31, 2008","MAY 14, 2008",Completed,Bureau of Forestry -,8 P ALADDIN 30ME 05.14.08
"",Green Streets,,,10:11 AM,10:12 AM,,Green Streets,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00184048,Tree Planting -,"6230 S YALE AVE , CHICAGO, IL,",20-Ward,"Jan 31, 2008","MAY 14, 2008",Completed,Bureau of Forestry -,"8 P ALADDIN 30ME 05.14.08,"
"",Green Streets,60621,,10:12 AM,10:12 AM,,Green Streets,"LOTS OF LIMESTONE AT SITE,"
"",,COOK,,,,,,POOR SOIL CONDITIONS
08-00184055,Tree Planting -,"6234 S YALE AVE , CHICAGO, IL,",20-Ward,"Jan 31, 2008","MAY 14, 2008",Completed,Bureau of Forestry -,3 P/D/RR ALADDIN 06ZB
"",Green Streets,60621,,10:12 AM,10:13 AM,,Green Streets,05.14.08 TREES VANDALLED
"",,COOK,,,,,,FROM AUTOS
08-00184069,Tree Planting -,"6311 S WELLS ST , CHICAGO, IL,",,"Jan 31, 2008","APR 24, 2009",Completed,Bureau of Forestry -,19 P
"",Green Streets,60604,,10:13 AM,02:36 PM,,Green Streets,
"",,COOK,,,,,,
08-00184269,Tree Planting -,"6312 S WELLS , CHICAGO, IL,",,"Jan 31, 2008","JUN 02, 2008",Completed,Bureau of Forestry -,8P ALADDIN 05ZA 06.02.08
"",Green Streets,,,10:32 AM,10:32 AM,,Green Streets,AREA MAINTAINED BY
"",,,,,,,,PRIVATE CONSTIUENT
08-00184283,Tree Planting -,"6526 S WENTWORTH AVE ,",20-Ward,"Jan 31, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,4 P TURFCARE 01XF 05.2.08
"",Green Streets,"CHICAGO, IL, 60621",,10:33 AM,10:33 AM,,Green Streets,
"",,COOK,,,,,,
08-00184287,Tree Planting -,"6547 S WENTWORTH AVE ,",20-Ward,"Jan 31, 2008","MAY 12, 2008",Completed,Bureau of Forestry -,8P TURFCARE 30ME 05.12.08
"",Green Streets,"CHICAGO, IL, 60621",,10:33 AM,10:34 AM,,Green Streets,
"",,COOK,,,,,,
08-00184298,Tree Planting -,"6601 S PERRY AVE , CHICAGO, IL,",6-Ward,"Jan 31, 2008","MAY 12, 2008",Completed,Bureau of Forestry -,6 P TURFCARE 30ME 05.12.08
"",Green Streets,60621,,10:34 AM,10:35 AM,,Green Streets,
"",,COOK,,,,,,
08-00184312,Tree Planting -,"6559 S PERRY AVE , CHICAGO, IL,",20-Ward,"Jan 31, 2008","MAY 12, 2008",Completed,Bureau of Forestry -,1 P TURFCARE 30ME 05.12.08
"",Green Streets,60621,,10:35 AM,10:35 AM,,Green Streets,
"",,COOK,,,,,,
08-00184318,Tree Planting -,"6601 S LAFAYETTE AVE , CHICAGO,",20-Ward,"Jan 31, 2008","MAY 15, 2008",Completed,Bureau of Forestry -,3 P ALADDIN 15MD 05.15.08
"",Green Streets,"IL, 60621",,10:35 AM,10:36 AM,,Green Streets,
"",,COOK,,,,,,
08-00184323,Tree Planting -,"6602 S LAFAYETTE AVE , CHICAGO,",6-Ward,"Jan 31, 2008","MAY 15, 2008",Completed,Bureau of Forestry -,19 P ALADDIN 01TF 05.15.08
"",Green Streets,"IL, 60621",,10:36 AM,10:37 AM,,Green Streets,
"",,COOK,,,,,,
08-00185049,Tree Planting -,"9521 S STATE ST , CHICAGO, IL,",9-Ward,"Jan 31, 2008","JUN 16, 2008",Completed,Bureau of Forestry -,4P ALADDIN 07ZK 06.16.08
"",Green Streets,60628,,11:51 AM,10:22 AM,,Green Streets,
"",,COOK,,,,,,
08-00185055,Tree Planting -,"5 E 94TH ST , CHICAGO, IL, 60619",9-Ward,"Jan 31, 2008","JUN 20, 2008",Completed,Bureau of Forestry -,5P ALADDIN 13ZG 06.20.08
"",Green Streets,COOK,,11:51 AM,08:54 AM,,Green Streets,
08-00185064,Tree Planting -,"9351 S STATE ST , CHICAGO, IL,",9-Ward,"Jan 31, 2008","JUN 27, 2008",Completed,Bureau of Forestry -,2OP  06DB ALADDIN 06.27.08
"",Green Streets,60619,,11:52 AM,09:20 AM,,Green Streets,
"",,COOK,,,,,,
08-00185076,Tree Planting -,"9301 S STATE ST , CHICAGO, IL,",9-Ward,"Jan 31, 2008",,Completed,Bureau of Forestry -,11P ON GILLESPIE SCHOOL
"",Green Streets,60619,,11:53 AM,,,Green Streets,INSIDE FENCE; NO RESPONSE
"",,COOK,,,,,,FROM CPS
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00185088,Tree Planting -,"5 E 88TH ST , CHICAGO, IL, 60619",9-Ward,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,6P ALADDIN 13ZG 06.19.08
"",Green Streets,COOK,,11:54 AM,10:42 AM,,Green Streets,
08-00185096,Tree Planting -,"8541 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","JUN 23, 2008",Completed,Bureau of Forestry -,6P ALADDIN 06ZB 06.23.08
"",Green Streets,60619,,11:54 AM,11:38 AM,,Green Streets,
"",,COOK,,,,,,
08-00185106,Tree Planting -,"8223 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","JUN 24, 2008",Completed,Bureau of Forestry -,1OP
"",Green Streets,60619,,11:55 AM,11:39 AM,,Green Streets,
"",,COOK,,,,,,
08-00185111,Tree Planting -,"7803 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","MAY 13, 2008",Completed,Bureau of Forestry -,2P ALADDIN 06DB 05.13.08
"",Green Streets,60619,,11:55 AM,11:13 AM,,Green Streets,
"",,COOK,,,,,,
08-00185119,Tree Planting -,"7745 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","MAY 13, 2008",Completed,Bureau of Forestry -,4P ALADDIN 06DB 05.13.08
"",Green Streets,60619,,11:56 AM,11:12 AM,,Green Streets,
"",,COOK,,,,,,
08-00185128,Tree Planting -,"7651 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","JUL 10, 2008",Completed,Bureau of Forestry -,1P
"",Green Streets,60619,,11:57 AM,09:19 AM,,Green Streets,
"",,COOK,,,,,,
08-00185135,Tree Planting -,"7351 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008",,Completed,Bureau of Forestry -,6P ALADDIN 13ZG 05.13.08
"",Green Streets,60621,,11:58 AM,,,Green Streets,
"",,COOK,,,,,,
08-00185150,Tree Planting -,"6945 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,1OP ALADDIN 06DB 06.19.08
"",Green Streets,60637,,11:59 AM,10:33 AM,,Green Streets,
"",,COOK,,,,,,
08-00185156,Tree Planting -,"6859 S STATE ST , CHICAGO, IL,",6-Ward,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,1M/OP ALADDIN 06DB 06.19.08
"",Green Streets,60637,,12:00 PM,10:34 AM,,Green Streets,
"",,COOK,,,,,,
08-00185173,Tree Planting -,"6602 S STATE ST , CHICAGO, IL,",20-Ward,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,5M/OP ALADDIN 06DB 06.19.08
"",Green Streets,60637,,12:01 PM,10:35 AM,,Green Streets,
"",,COOK,,,,,,
08-00185187,Tree Planting -,"5501 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,6P ALADDIN 06DB 06.19.08
"",Green Streets,"CHICAGO, IL, 60621",,12:01 PM,10:36 AM,,Green Streets,
"",,COOK,,,,,,
08-00185198,Tree Planting -,"159 W GARFIELD BLVD , CHICAGO,",3-Ward,"Jan 31, 2008","JUN 04, 2008",Completed,Bureau of Forestry -,10P BOULEVARD; ALADDIN
"",Green Streets,"IL, 60609",,12:02 PM,02:21 PM,,Green Streets,05ZA 06.04.08
"",,COOK,,,,,,
08-00185217,Tree Planting -,"5219 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","OCT 25, 2008",Completed,Bureau of Forestry -,16P 8 07ZC AND 8 25ZF
"",Green Streets,"CHICAGO, IL, 60609",,12:03 PM,09:07 AM,,Green Streets,ALADDIN
"",,COOK,,,,,,
08-00185237,Tree Planting -,"5121 S WENTWORTH AVE ,",3-Ward,"Jan 31, 2008","OCT 25, 2008",Completed,Bureau of Forestry -,1P 07ZC ALADDIN
"",Green Streets,"CHICAGO, IL, 60609",,12:05 PM,09:06 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00185269,Tree Planting -,"4601 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 23, 2008",Completed,Bureau of Forestry -,20P ALADDIN 30ME 06.23.08
"",Green Streets,60609,,12:07 PM,11:37 AM,,Green Streets,
"",,COOK,,,,,,
08-00185282,Tree Planting -,"4625 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 23, 2008",Completed,Bureau of Forestry -,1P ALADDIN 25ZF 06.23.08
"",Green Streets,60609,,12:07 PM,11:36 AM,,Green Streets,
"",,COOK,,,,,,
08-00185296,Tree Planting -,"4615 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 23, 2008",Completed,Bureau of Forestry -,1P ALADDIN 25ZF 06.23.08
"",Green Streets,60609,,12:09 PM,11:37 AM,,Green Streets,
"",,COOK,,,,,,
08-00185301,Tree Planting -,"3841 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,11P ALADDIN 25ZF 06.13.08
"",Green Streets,60609,,12:09 PM,10:12 AM,,Green Streets,
"",,COOK,,,,,,
08-00185311,Tree Planting -,"3701 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,4P ALADDIN 30ME 06.13.08
"",Green Streets,60609,,12:10 PM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
08-00185326,Tree Planting -,"3641 S LA SALLE ST , CHICAGO, IL,",3-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,5P ALADDIN 30ME 06.13.08
"",Green Streets,60609,,12:11 PM,10:10 AM,,Green Streets,
"",,COOK,,,,,,
08-00185336,Tree Planting -,"3401 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,1P ALADDIN 32AD 06.13.08
"",Green Streets,60616,,12:12 PM,10:08 AM,,Green Streets,
"",,COOK,,,,,,
08-00185346,Tree Planting -,"3341 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,1P ALADDIN 32AD 06.13.08
"",Green Streets,60616,,12:12 PM,10:08 AM,,Green Streets,
"",,COOK,,,,,,
08-00185365,Tree Planting -,"3319 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,1P ALADDIN 32AD 06.13.08
"",Green Streets,60616,,12:14 PM,10:07 AM,,Green Streets,
"",,COOK,,,,,,
08-00185377,Tree Planting -,"3257 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 12, 2008",Completed,Bureau of Forestry -,13P ALADDIN 32AD 06.12.08
"",Green Streets,60616,,12:15 PM,09:31 AM,,Green Streets,
"",,COOK,,,,,,
08-00185395,Tree Planting -,"3201 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 13, 2008",Completed,Bureau of Forestry -,8P ALADDIN 15MD 06.13.08
"",Green Streets,60616,,12:16 PM,09:31 AM,,Green Streets,
"",,COOK,,,,,,
08-00185406,Tree Planting -,"3001 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 10, 2008",Completed,Bureau of Forestry -,20P; 10/ 15MD & 10/ 32AD
"",Green Streets,60616,,12:17 PM,08:07 AM,,Green Streets,ALADDIN 06.10.08
"",,COOK,,,,,,
08-00185415,Tree Planting -,"2947 S LA SALLE ST , CHICAGO, IL,",11-Ward,"Jan 31, 2008","JUN 10, 2008",Completed,Bureau of Forestry -,23P ALADDIN 10/ 15MD & 13/
"",Green Streets,60616,,12:18 PM,08:08 AM,,Green Streets,32WF 06.10.08
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
08-00185451,Tree Planting -,"2651 S LA SALLE ST , CHICAGO, IL, 11-Ward",,"Jan 31, 2008","JUN 11, 2008",Completed,Bureau of Forestry -,5P ALADDIN 32WF 06.11.08
"",Green Streets,60616,,12:20 PM,08:11 AM,,Green Streets,
"",,COOK,,,,,,
08-00185465,Tree Planting -,"9608 S EWING AVE , CHICAGO, IL, 10-Ward",,"Jan 31, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,6P TURFCARE 01ZF 05.02.08
"",Green Streets,60617,,12:21 PM,09:05 AM,,Green Streets,
"",,COOK,,,,,,
08-00185489,Tree Planting -,"71 W 67TH ST , CHICAGO, IL,",,"Jan 31, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,4 P TURFCARE 01XF 05.02.08
"",Green Streets,,,12:23 PM,12:24 PM,,Green Streets,
08-00185507,Tree Planting -,"41 W 67TH ST , CHICAGO, IL,",,"Jan 31, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,2 P TURFCARE 14CF 05.05.08
"",Green Streets,,,12:24 PM,12:25 PM,,Green Streets,
08-00185522,Tree Planting -,"72 W 69TH ST , CHICAGO, IL, 60621 6-Ward",,"Jan 31, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,1 P TURFCARE 01XF 05.02.08
"",Green Streets,COOK,,12:25 PM,12:26 PM,,Green Streets,
08-00185536,Tree Planting -,"6950 S VINCENNES AVE , CHICAGO, 6-Ward",,"Jan 31, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,9 P TURFCARE 14CF 05.05.08
"",Green Streets,"IL, 60621",,12:26 PM,12:27 PM,,Green Streets,
"",,COOK,,,,,,
08-00185557,Tree Planting -,"7050 S LAFAYETTE AVE , CHICAGO, 6-Ward",,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,8 P ALADDIN 06DB 06.19.08
"",Green Streets,"IL, 60621",,12:27 PM,12:28 PM,,Green Streets,
"",,COOK,,,,,,
08-00185563,Tree Planting -,"7830 S LAFAYETTE AVE , CHICAGO, 6-Ward",,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,4 P ALADDIN 06DB 06.19.08
"",Green Streets,"IL, 60620",,12:28 PM,12:29 PM,,Green Streets,
"",,COOK,,,,,,
08-00185573,Tree Planting -,"9050 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","JUN 19, 2008",Completed,Bureau of Forestry -,6 P ALADDIN 06DB 06.19.08 2
"",Green Streets,"IL, 60620",,12:29 PM,12:29 PM,,Green Streets,ON 91 ST
"",,COOK,,,,,,
08-00185581,Tree Planting -,"33 W 92ND ST , CHICAGO, IL, 60620 21-Ward",,"Jan 31, 2008","JUN 23, 2008",Completed,Bureau of Forestry -,4 P ALADDIN 15MD 06.23.08
"",Green Streets,COOK,,12:29 PM,12:30 PM,,Green Streets,
08-00185593,Tree Planting -,"9540 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,1 P ALADDIN 32OC 05.16.08
"",Green Streets,"IL, 60628",,12:30 PM,12:31 PM,,Green Streets,
"",,COOK,,,,,,
08-00185596,Tree Planting -,"9600 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,5 P
"",Green Streets,"IL, 60628",,12:31 PM,12:31 PM,,Green Streets,
"",,COOK,,,,,,
08-00185611,Tree Planting -,"9604 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,9 P ALADDIN 30ME 05.16.08
"",Green Streets,"IL, 60628",,12:32 PM,12:32 PM,,Green Streets,
"",,COOK,,,,,,
08-00185618,Tree Planting -,"9710 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,3 P
"",Green Streets,"IL, 60628",,12:32 PM,12:33 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
08-00185625,Tree Planting -,"9710 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60628",,12:33 PM,,,Green Streets,
"",,COOK,,,,,,
08-00185648,Tree Planting -,"9712 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,5 P ALADDIN 25ZF 05.16.08
"",Green Streets,"IL, 60628",,12:35 PM,12:35 PM,,Green Streets,
"",,COOK,,,,,,
08-00185663,Tree Planting -,"9741 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","JUN 20, 2008",Completed,Bureau of Forestry -,20 P ALADDIN 01TF 06.20.08
"",Green Streets,"IL, 60628",,12:35 PM,12:36 PM,,Green Streets,
"",,COOK,,,,,,
08-00185673,Tree Planting -,"9750 S LAFAYETTE AVE , CHICAGO, 21-Ward",,"Jan 31, 2008","JUN 06, 2008",Completed,Bureau of Forestry -,2 P ALADDIN 05ZA 06.06.08
"",Green Streets,"IL, 60628",,12:36 PM,12:36 PM,,Green Streets,
"",,COOK,,,,,,
08-00185678,Tree Planting -,"9258 S STATE ST , CHICAGO, IL, 21-Ward",,"Jan 31, 2008","JUN 17, 2008",Completed,Bureau of Forestry -,27P ALADDIN 15MYY 06.17.08
"",Green Streets,60619,,12:36 PM,10:28 AM,,Green Streets,
"",,COOK,,,,,,
08-00185689,Tree Planting -,"9802 S LAFAYETTE AVE , CHICAGO, 9-Ward",,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,4 P WRONG ADDRESS
"",Green Streets,"IL, 60628",,12:37 PM,12:37 PM,,Green Streets,
"",,COOK,,,,,,
08-00185696,Tree Planting -,"9256 S STATE ST , CHICAGO, IL, 21-Ward",,"Jan 31, 2008","JUN 17, 2008",Completed,Bureau of Forestry -,23P ALADDIN 14CF 21
"",Green Streets,60619,,12:37 PM,10:30 AM,,Green Streets,PLANTED 06.17.08 2 PLANTED
"",,COOK,,,,,,06.18.08
08-00185702,Tree Planting -,"9801 S LAFAYETTE AVE , CHICAGO, 9-Ward",,"Jan 31, 2008","JAN 31, 2008",Completed,Bureau of Forestry -,5 P WRONG ADDRESS
"",Green Streets,"IL, 60628",,12:37 PM,12:37 PM,,Green Streets,
"",,COOK,,,,,,
08-00185714,Tree Planting -,"9158 S STATE ST , CHICAGO, IL, 21-Ward",,"Jan 31, 2008","JUN 18, 2008",Completed,Bureau of Forestry -,23P ALADDIN 14ZYY 06.18.08
"",Green Streets,60619,,12:38 PM,10:31 AM,,Green Streets,
"",,COOK,,,,,,
08-00185724,Tree Planting -,"9156 S STATE ST , CHICAGO, IL, 21-Ward",,"Jan 31, 2008","JUN 18, 2008",Completed,Bureau of Forestry -,22P ALADDIN 46AYY 06.18.08
"",Green Streets,60619,,12:39 PM,10:32 AM,,Green Streets,
"",,COOK,,,,,,
