sr_number,type,raw_location,area,created_date,activity_date,status,group,description,address,ward
08-00184029,Tree Planting - Green Streets,"6102 S YALE AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:10 AM","MAY 14, 2008 10:11 AM",Completed,Bureau of Forestry - Green Streets,"10 P ALADDIN 06ZB 05.14.08 LOTS OF LIMESTONE AT SITE, SOIL IN POOR CONDITION",6102 S YALE AVE,20-Ward
08-00184038,Tree Planting - Green Streets,"6132 S YALE , CHICAGO, IL,",,"Jan 31, 2008 10:11 AM","MAY 14, 2008 10:12 AM",Completed,Bureau of Forestry - Green Streets,8 P ALADDIN 30ME 05.14.08,6132 S YALE,
08-00184048,Tree Planting - Green Streets,"6230 S YALE AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:12 AM","MAY 14, 2008 10:12 AM",Completed,Bureau of Forestry - Green Streets,"8 P ALADDIN 30ME 05.14.08, LOTS OF LIMESTONE AT SITE, POOR SOIL CONDITIONS",6230 S YALE AVE,20-Ward
08-00184055,Tree Planting - Green Streets,"6234 S YALE AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:12 AM","MAY 14, 2008 10:13 AM",Completed,Bureau of Forestry - Green Streets,3 P/D/RR ALADDIN 06ZB 05.14.08 TREES VANDALLED FROM AUTOS,6234 S YALE AVE,20-Ward
08-00184069,Tree Planting - Green Streets,"6311 S WELLS ST , CHICAGO, IL, 60604 COOK",,"Jan 31, 2008 10:13 AM","APR 24, 2009 02:36 PM",Completed,Bureau of Forestry - Green Streets,19 P,6311 S WELLS ST,
08-00184269,Tree Planting - Green Streets,"6312 S WELLS , CHICAGO, IL,",,"Jan 31, 2008 10:32 AM","JUN 02, 2008 10:32 AM",Completed,Bureau of Forestry - Green Streets,8P ALADDIN 05ZA 06.02.08 AREA MAINTAINED BY PRIVATE CONSTIUENT,6312 S WELLS,
08-00184283,Tree Planting - Green Streets,"6526 S WENTWORTH AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:33 AM","MAY 02, 2008 10:33 AM",Completed,Bureau of Forestry - Green Streets,4 P TURFCARE 01XF 05.2.08,6526 S WENTWORTH AVE,20-Ward
08-00184287,Tree Planting - Green Streets,"6547 S WENTWORTH AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:33 AM","MAY 12, 2008 10:34 AM",Completed,Bureau of Forestry - Green Streets,8P TURFCARE 30ME 05.12.08,6547 S WENTWORTH AVE,20-Ward
08-00184298,Tree Planting - Green Streets,"6601 S PERRY AVE , CHICAGO, IL, 60621 COOK",6-Ward,"Jan 31, 2008 10:34 AM","MAY 12, 2008 10:35 AM",Completed,Bureau of Forestry - Green Streets,6 P TURFCARE 30ME 05.12.08,6601 S PERRY AVE,6-Ward
08-00184312,Tree Planting - Green Streets,"6559 S PERRY AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:35 AM","MAY 12, 2008 10:35 AM",Completed,Bureau of Forestry - Green Streets,1 P TURFCARE 30ME 05.12.08,6559 S PERRY AVE,20-Ward
08-00184318,Tree Planting - Green Streets,"6601 S LAFAYETTE AVE , CHICAGO, IL, 60621 COOK",20-Ward,"Jan 31, 2008 10:35 AM","MAY 15, 2008 10:36 AM",Completed,Bureau of Forestry - Green Streets,3 P ALADDIN 15MD 05.15.08,6601 S LAFAYETTE AVE,20-Ward
08-00184323,Tree Planting - Green Streets,"6602 S LAFAYETTE AVE , CHICAGO, IL, 60621 COOK",6-Ward,"Jan 31, 2008 10:36 AM","MAY 15, 2008 10:37 AM",Completed,Bureau of Forestry - Green Streets,19 P ALADDIN 01TF 05.15.08,6602 S LAFAYETTE AVE,6-Ward
08-00185049,Tree Planting - Green Streets,"9521 S STATE ST , CHICAGO, IL, 60628 COOK",9-Ward,"Jan 31, 2008 11:51 AM","JUN 16, 2008 10:22 AM",Completed,Bureau of Forestry - Green Streets,4P ALADDIN 07ZK 06.16.08,9521 S STATE ST,9-Ward
08-00185055,Tree Planting - Green Streets,"5 E 94TH ST , CHICAGO, IL, 60619 COOK",9-Ward,"Jan 31, 2008 11:51 AM","JUN 20, 2008 08:54 AM",Completed,Bureau of Forestry - Green Streets,5P ALADDIN 13ZG 06.20.08,5 E 94TH ST,9-Ward
08-00185064,Tree Planting - Green Streets,"9351 S STATE ST , CHICAGO, IL, 60619 COOK",9-Ward,"Jan 31, 2008 11:52 AM","JUN 27, 2008 09:20 AM",Completed,Bureau of Forestry - Green Streets,2OP  06DB ALADDIN 06.27.08,9351 S STATE ST,9-Ward
08-00185076,Tree Planting - Green Streets,"9301 S STATE ST , CHICAGO, IL, 60619 COOK",9-Ward,"Jan 31, 2008 11:53 AM",,Completed,Bureau of Forestry - Green Streets,11P ON GILLESPIE SCHOOL INSIDE FENCE; NO RESPONSE FROM CPS,9301 S STATE ST,9-Ward
08-00185088,Tree Planting - Green Streets,"5 E 88TH ST , CHICAGO, IL, 60619 COOK",9-Ward,"Jan 31, 2008 11:54 AM","JUN 19, 2008 10:42 AM",Completed,Bureau of Forestry - Green Streets,6P ALADDIN 13ZG 06.19.08,5 E 88TH ST,9-Ward
08-00185096,Tree Planting - Green Streets,"8541 S STATE ST , CHICAGO, IL, 60619 COOK",6-Ward,"Jan 31, 2008 11:54 AM","JUN 23, 2008 11:38 AM",Completed,Bureau of Forestry - Green Streets,6P ALADDIN 06ZB 06.23.08,8541 S STATE ST,6-Ward
08-00185106,Tree Planting - Green Streets,"8223 S STATE ST , CHICAGO, IL, 60619 COOK",6-Ward,"Jan 31, 2008 11:55 AM","JUN 24, 2008 11:39 AM",Completed,Bureau of Forestry - Green Streets,1OP,8223 S STATE ST,6-Ward
08-00185111,Tree Planting - Green Streets,"7803 S STATE ST , CHICAGO, IL, 60619 COOK",6-Ward,"Jan 31, 2008 11:55 AM","MAY 13, 2008 11:13 AM",Completed,Bureau of Forestry - Green Streets,2P ALADDIN 06DB 05.13.08,7803 S STATE ST,6-Ward
08-00185119,Tree Planting - Green Streets,"7745 S STATE ST , CHICAGO, IL, 60619 COOK",6-Ward,"Jan 31, 2008 11:56 AM","MAY 13, 2008 11:12 AM",Completed,Bureau of Forestry - Green Streets,4P ALADDIN 06DB 05.13.08,7745 S STATE ST,6-Ward
08-00185128,Tree Planting - Green Streets,"7651 S STATE ST , CHICAGO, IL, 60619 COOK",6-Ward,"Jan 31, 2008 11:57 AM","JUL 10, 2008 09:19 AM",Completed,Bureau of Forestry - Green Streets,1P,7651 S STATE ST,6-Ward
08-00185135,Tree Planting - Green Streets,"7351 S STATE ST , CHICAGO, IL, 60621 COOK",6-Ward,"Jan 31, 2008 11:58 AM",,Completed,Bureau of Forestry - Green Streets,6P ALADDIN 13ZG 05.13.08,7351 S STATE ST,6-Ward
08-00185150,Tree Planting - Green Streets,"6945 S STATE ST , CHICAGO, IL, 60637 COOK",6-Ward,"Jan 31, 2008 11:59 AM","JUN 19, 2008 10:33 AM",Completed,Bureau of Forestry - Green Streets,1OP ALADDIN 06DB 06.19.08,6945 S STATE ST,6-Ward
08-00185156,Tree Planting - Green Streets,"6859 S STATE ST , CHICAGO, IL, 60637 COOK",6-Ward,"Jan 31, 2008 12:00 PM","JUN 19, 2008 10:34 AM",Completed,Bureau of Forestry - Green Streets,1M/OP ALADDIN 06DB 06.19.08,6859 S STATE ST,6-Ward
08-00185173,Tree Planting - Green Streets,"6602 S STATE ST , CHICAGO, IL, 60637 COOK",20-Ward,"Jan 31, 2008 12:01 PM","JUN 19, 2008 10:35 AM",Completed,Bureau of Forestry - Green Streets,5M/OP ALADDIN 06DB 06.19.08,6602 S STATE ST,20-Ward
08-00185187,Tree Planting - Green Streets,"5501 S WENTWORTH AVE , CHICAGO, IL, 60621 COOK",3-Ward,"Jan 31, 2008 12:01 PM","JUN 19, 2008 10:36 AM",Completed,Bureau of Forestry - Green Streets,6P ALADDIN 06DB 06.19.08,5501 S WENTWORTH AVE,3-Ward
08-00185198,Tree Planting - Green Streets,"159 W GARFIELD BLVD , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:02 PM","JUN 04, 2008 02:21 PM",Completed,Bureau of Forestry - Green Streets,10P BOULEVARD; ALADDIN 05ZA 06.04.08,159 W GARFIELD BLVD,3-Ward
08-00185217,Tree Planting - Green Streets,"5219 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:03 PM","OCT 25, 2008 09:07 AM",Completed,Bureau of Forestry - Green Streets,16P 8 07ZC AND 8 25ZF ALADDIN,5219 S WENTWORTH AVE,3-Ward
08-00185237,Tree Planting - Green Streets,"5121 S WENTWORTH AVE , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:05 PM","OCT 25, 2008 09:06 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC ALADDIN,5121 S WENTWORTH AVE,3-Ward
08-00185269,Tree Planting - Green Streets,"4601 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:07 PM","JUN 23, 2008 11:37 AM",Completed,Bureau of Forestry - Green Streets,20P ALADDIN 30ME 06.23.08,4601 S LA SALLE ST,3-Ward
08-00185282,Tree Planting - Green Streets,"4625 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:07 PM","JUN 23, 2008 11:36 AM",Completed,Bureau of Forestry - Green Streets,1P ALADDIN 25ZF 06.23.08,4625 S LA SALLE ST,3-Ward
08-00185296,Tree Planting - Green Streets,"4615 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:09 PM","JUN 23, 2008 11:37 AM",Completed,Bureau of Forestry - Green Streets,1P ALADDIN 25ZF 06.23.08,4615 S LA SALLE ST,3-Ward
08-00185301,Tree Planting - Green Streets,"3841 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:09 PM","JUN 13, 2008 10:12 AM",Completed,Bureau of Forestry - Green Streets,11P ALADDIN 25ZF 06.13.08,3841 S LA SALLE ST,3-Ward
08-00185311,Tree Planting - Green Streets,"3701 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:10 PM","JUN 13, 2008 10:11 AM",Completed,Bureau of Forestry - Green Streets,4P ALADDIN 30ME 06.13.08,3701 S LA SALLE ST,3-Ward
08-00185326,Tree Planting - Green Streets,"3641 S LA SALLE ST , CHICAGO, IL, 60609 COOK",3-Ward,"Jan 31, 2008 12:11 PM","JUN 13, 2008 10:10 AM",Completed,Bureau of Forestry - Green Streets,5P ALADDIN 30ME 06.13.08,3641 S LA SALLE ST,3-Ward
08-00185336,Tree Planting - Green Streets,"3401 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:12 PM","JUN 13, 2008 10:08 AM",Completed,Bureau of Forestry - Green Streets,1P ALADDIN 32AD 06.13.08,3401 S LA SALLE ST,11-Ward
08-00185346,Tree Planting - Green Streets,"3341 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:12 PM","JUN 13, 2008 10:08 AM",Completed,Bureau of Forestry - Green Streets,1P ALADDIN 32AD 06.13.08,3341 S LA SALLE ST,11-Ward
08-00185365,Tree Planting - Green Streets,"3319 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:14 PM","JUN 13, 2008 10:07 AM",Completed,Bureau of Forestry - Green Streets,1P ALADDIN 32AD 06.13.08,3319 S LA SALLE ST,11-Ward
08-00185377,Tree Planting - Green Streets,"3257 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:15 PM","JUN 12, 2008 09:31 AM",Completed,Bureau of Forestry - Green Streets,13P ALADDIN 32AD 06.12.08,3257 S LA SALLE ST,11-Ward
08-00185395,Tree Planting - Green Streets,"3201 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:16 PM","JUN 13, 2008 09:31 AM",Completed,Bureau of Forestry - Green Streets,8P ALADDIN 15MD 06.13.08,3201 S LA SALLE ST,11-Ward
08-00185406,Tree Planting - Green Streets,"3001 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:17 PM","JUN 10, 2008 08:07 AM",Completed,Bureau of Forestry - Green Streets,20P; 10/ 15MD & 10/ 32AD ALADDIN 06.10.08,3001 S LA SALLE ST,11-Ward
08-00185415,Tree Planting - Green Streets,"2947 S LA SALLE ST , CHICAGO, IL, 60616 COOK",11-Ward,"Jan 31, 2008 12:18 PM","JUN 10, 2008 08:08 AM",Completed,Bureau of Forestry - Green Streets,23P ALADDIN 10/ 15MD & 13/ 32WF 06.10.08,2947 S LA SALLE ST,11-Ward
08-00185451,Tree Planting - Green Streets,"2651 S LA SALLE ST , CHICAGO, IL, 11-Ward 60616 COOK",,"Jan 31, 2008 12:20 PM","JUN 11, 2008 08:11 AM",Completed,Bureau of Forestry - Green Streets,5P ALADDIN 32WF 06.11.08,2651 S LA SALLE ST,11-Ward
08-00185465,Tree Planting - Green Streets,"9608 S EWING AVE , CHICAGO, IL, 10-Ward 60617 COOK",,"Jan 31, 2008 12:21 PM","MAY 02, 2008 09:05 AM",Completed,Bureau of Forestry - Green Streets,6P TURFCARE 01ZF 05.02.08,9608 S EWING AVE,10-Ward
08-00185489,Tree Planting - Green Streets,"71 W 67TH ST , CHICAGO, IL,",,"Jan 31, 2008 12:23 PM","MAY 02, 2008 12:24 PM",Completed,Bureau of Forestry - Green Streets,4 P TURFCARE 01XF 05.02.08,71 W 67TH ST,
08-00185507,Tree Planting - Green Streets,"41 W 67TH ST , CHICAGO, IL,",,"Jan 31, 2008 12:24 PM","MAY 05, 2008 12:25 PM",Completed,Bureau of Forestry - Green Streets,2 P TURFCARE 14CF 05.05.08,41 W 67TH ST,
08-00185522,Tree Planting - Green Streets,"72 W 69TH ST , CHICAGO, IL, 60621 6-Ward COOK",,"Jan 31, 2008 12:25 PM","MAY 02, 2008 12:26 PM",Completed,Bureau of Forestry - Green Streets,1 P TURFCARE 01XF 05.02.08,72 W 69TH ST,6-Ward
08-00185536,Tree Planting - Green Streets,"6950 S VINCENNES AVE , CHICAGO, 6-Ward IL, 60621 COOK",,"Jan 31, 2008 12:26 PM","MAY 05, 2008 12:27 PM",Completed,Bureau of Forestry - Green Streets,9 P TURFCARE 14CF 05.05.08,6950 S VINCENNES AVE,6-Ward
08-00185557,Tree Planting - Green Streets,"7050 S LAFAYETTE AVE , CHICAGO, 6-Ward IL, 60621 COOK",,"Jan 31, 2008 12:27 PM","JUN 19, 2008 12:28 PM",Completed,Bureau of Forestry - Green Streets,8 P ALADDIN 06DB 06.19.08,7050 S LAFAYETTE AVE,6-Ward
08-00185563,Tree Planting - Green Streets,"7830 S LAFAYETTE AVE , CHICAGO, 6-Ward IL, 60620 COOK",,"Jan 31, 2008 12:28 PM","JUN 19, 2008 12:29 PM",Completed,Bureau of Forestry - Green Streets,4 P ALADDIN 06DB 06.19.08,7830 S LAFAYETTE AVE,6-Ward
08-00185573,Tree Planting - Green Streets,"9050 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60620 COOK",,"Jan 31, 2008 12:29 PM","JUN 19, 2008 12:29 PM",Completed,Bureau of Forestry - Green Streets,6 P ALADDIN 06DB 06.19.08 2 ON 91 ST,9050 S LAFAYETTE AVE,21-Ward
08-00185581,Tree Planting - Green Streets,"33 W 92ND ST , CHICAGO, IL, 60620 21-Ward COOK",,"Jan 31, 2008 12:29 PM","JUN 23, 2008 12:30 PM",Completed,Bureau of Forestry - Green Streets,4 P ALADDIN 15MD 06.23.08,33 W 92ND ST,21-Ward
08-00185593,Tree Planting - Green Streets,"9540 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:30 PM","MAY 16, 2008 12:31 PM",Completed,Bureau of Forestry - Green Streets,1 P ALADDIN 32OC 05.16.08,9540 S LAFAYETTE AVE,21-Ward
08-00185596,Tree Planting - Green Streets,"9600 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:31 PM","JAN 31, 2008 12:31 PM",Completed,Bureau of Forestry - Green Streets,5 P,9600 S LAFAYETTE AVE,21-Ward
08-00185611,Tree Planting - Green Streets,"9604 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:32 PM","MAY 16, 2008 12:32 PM",Completed,Bureau of Forestry - Green Streets,9 P ALADDIN 30ME 05.16.08,9604 S LAFAYETTE AVE,21-Ward
08-00185618,Tree Planting - Green Streets,"9710 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:32 PM","JAN 31, 2008 12:33 PM",Completed,Bureau of Forestry - Green Streets,3 P,9710 S LAFAYETTE AVE,21-Ward
08-00185625,Tree Planting - Green Streets,"9710 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:33 PM",,Completed,Bureau of Forestry - Green Streets,,9710 S LAFAYETTE AVE,21-Ward
08-00185648,Tree Planting - Green Streets,"9712 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:35 PM","MAY 16, 2008 12:35 PM",Completed,Bureau of Forestry - Green Streets,5 P ALADDIN 25ZF 05.16.08,9712 S LAFAYETTE AVE,21-Ward
08-00185663,Tree Planting - Green Streets,"9741 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:35 PM","JUN 20, 2008 12:36 PM",Completed,Bureau of Forestry - Green Streets,20 P ALADDIN 01TF 06.20.08,9741 S LAFAYETTE AVE,21-Ward
08-00185673,Tree Planting - Green Streets,"9750 S LAFAYETTE AVE , CHICAGO, 21-Ward IL, 60628 COOK",,"Jan 31, 2008 12:36 PM","JUN 06, 2008 12:36 PM",Completed,Bureau of Forestry - Green Streets,2 P ALADDIN 05ZA 06.06.08,9750 S LAFAYETTE AVE,21-Ward
08-00185678,Tree Planting - Green Streets,"9258 S STATE ST , CHICAGO, IL, 21-Ward 60619 COOK",,"Jan 31, 2008 12:36 PM","JUN 17, 2008 10:28 AM",Completed,Bureau of Forestry - Green Streets,27P ALADDIN 15MYY 06.17.08,9258 S STATE ST,21-Ward
08-00185689,Tree Planting - Green Streets,"9802 S LAFAYETTE AVE , CHICAGO, 9-Ward IL, 60628 COOK",,"Jan 31, 2008 12:37 PM","JAN 31, 2008 12:37 PM",Completed,Bureau of Forestry - Green Streets,4 P WRONG ADDRESS,9802 S LAFAYETTE AVE,9-Ward
08-00185696,Tree Planting - Green Streets,"9256 S STATE ST , CHICAGO, IL, 21-Ward 60619 COOK",,"Jan 31, 2008 12:37 PM","JUN 17, 2008 10:30 AM",Completed,Bureau of Forestry - Green Streets,23P ALADDIN 14CF 21 PLANTED 06.17.08 2 PLANTED 06.18.08,9256 S STATE ST,21-Ward
08-00185702,Tree Planting - Green Streets,"9801 S LAFAYETTE AVE , CHICAGO, 9-Ward IL, 60628 COOK",,"Jan 31, 2008 12:37 PM","JAN 31, 2008 12:37 PM",Completed,Bureau of Forestry - Green Streets,5 P WRONG ADDRESS,9801 S LAFAYETTE AVE,9-Ward
08-00185714,Tree Planting - Green Streets,"9158 S STATE ST , CHICAGO, IL, 21-Ward 60619 COOK",,"Jan 31, 2008 12:38 PM","JUN 18, 2008 10:31 AM",Completed,Bureau of Forestry - Green Streets,23P ALADDIN 14ZYY 06.18.08,9158 S STATE ST,21-Ward
08-00185724,Tree Planting - Green Streets,"9156 S STATE ST , CHICAGO, IL, 21-Ward 60619 COOK",,"Jan 31, 2008 12:39 PM","JUN 18, 2008 10:32 AM",Completed,Bureau of Forestry - Green Streets,22P ALADDIN 46AYY 06.18.08,9156 S STATE ST,21-Ward
